"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"PS1[399,11,1]",0.903,0.024,0.853,0.888,0.905,0.919,0.946,1.019,140
"PS1[400,11,1]",0.895,0.024,0.844,0.88,0.896,0.912,0.935,1.033,65
"PS1[401,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[402,11,1]",0.012,0.037,0.01,0.01,0.01,0.01,0.01,1.295,380
"PS1[404,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[405,11,1]",0.026,0.114,0.01,0.01,0.01,0.01,0.01,1.139,160
"PS1[406,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[407,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[408,11,1]",0.894,0.028,0.832,0.879,0.897,0.913,0.943,1.02,1700
"PS1[409,11,1]",0.011,0.022,0.01,0.01,0.01,0.01,0.01,1.291,1500
"PS1[410,11,1]",0.653,0.347,0.01,0.736,0.826,0.865,0.905,1.358,11
"PS1[411,11,1]",0.819,0.042,0.718,0.796,0.824,0.849,0.885,1.195,16
"PS1[413,11,1]",0.259,0.373,0.01,0.01,0.01,0.784,0.866,1.479,8
"PS1[414,11,1]",0.918,0.019,0.877,0.907,0.92,0.931,0.953,1.016,130
"PS1[416,11,1]",0.177,0.335,0.01,0.01,0.01,0.01,0.886,1.097,34
"PS1[417,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[419,11,1]",0.324,0.429,0.01,0.01,0.01,0.898,0.936,1.414,9
"PS1[420,11,1]",0.561,0.438,0.01,0.01,0.889,0.915,0.943,1.534,7
"PS1[421,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[422,11,1]",0.064,0.194,0.01,0.01,0.01,0.01,0.783,1.088,82
"PS1[424,11,1]",0.011,0.022,0.01,0.01,0.01,0.01,0.01,1.105,3000
"PS1[425,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[426,11,1]",0.014,0.058,0.01,0.01,0.01,0.01,0.01,1.299,200
"PS1[427,11,1]",0.01,0.014,0.01,0.01,0.01,0.01,0.01,1.291,3000
"PS1[428,11,1]",0.897,0.022,0.85,0.883,0.897,0.912,0.937,1.055,44
"PS1[429,11,1]",0.839,0.129,0.758,0.838,0.86,0.878,0.908,1.052,340
"PS1[430,11,1]",0.019,0.086,0.01,0.01,0.01,0.01,0.01,1.229,150
"PS1[431,11,1]",0.299,0.4,0.01,0.01,0.01,0.834,0.89,1.561,7
"PS1[432,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[433,11,1]",0.855,0.078,0.792,0.843,0.864,0.882,0.91,1.019,3000
"PS1[435,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[436,11,1]",0.018,0.08,0.01,0.01,0.01,0.01,0.01,1.024,2200
"PS1[437,11,1]",0.012,0.043,0.01,0.01,0.01,0.01,0.01,1.295,380
"PS1[438,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[439,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[6,12,1]",0.944,0.015,0.912,0.934,0.944,0.955,0.971,1.044,52
"PS1[7,12,1]",0.036,0.146,0.01,0.01,0.01,0.01,0.833,1.315,38
"PS1[8,12,1]",0.866,0.029,0.798,0.849,0.869,0.885,0.914,1.015,160
"PS1[9,12,1]",0.913,0.069,0.872,0.903,0.92,0.933,0.951,1.157,460
"PS1[10,12,1]",0.016,0.073,0.01,0.01,0.01,0.01,0.01,1.065,1000
"PS1[11,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[12,12,1]",0.896,0.054,0.843,0.884,0.9,0.915,0.943,1.296,180
"PS1[13,12,1]",0.467,0.412,0.01,0.01,0.788,0.846,0.888,1.669,6
"PS1[14,12,1]",0.813,0.084,0.708,0.795,0.825,0.848,0.882,1.305,90
"PS1[16,12,1]",0.011,0.035,0.01,0.01,0.01,0.01,0.01,1.293,600
"PS1[17,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[19,12,1]",0.903,0.076,0.867,0.896,0.911,0.923,0.944,1.116,750
"PS1[20,12,1]",0.835,0.035,0.771,0.816,0.838,0.856,0.897,1.225,1800
"PS1[21,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[22,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[23,12,1]",0.869,0.029,0.8,0.854,0.873,0.89,0.915,1.022,280
"PS1[24,12,1]",0.868,0.082,0.823,0.859,0.876,0.892,0.917,1.214,180
"PS1[26,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[27,12,1]",0.073,0.224,0.01,0.01,0.01,0.01,0.883,1.158,43
"PS1[29,12,1]",0.017,0.074,0.01,0.01,0.01,0.01,0.01,1.149,310
"PS1[30,12,1]",0.945,0.016,0.913,0.934,0.945,0.956,0.973,1.058,39
"PS1[32,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[35,12,1]",0.904,0.024,0.85,0.889,0.906,0.92,0.945,1.113,24
"PS1[36,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[38,12,1]",0.748,0.305,0.01,0.842,0.869,0.889,0.919,1.176,23
"PS1[39,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[40,12,1]",0.606,0.422,0.01,0.01,0.888,0.916,0.945,166.236,3
"PS1[43,12,1]",0.852,0.088,0.795,0.843,0.861,0.879,0.912,1.016,3000
"PS1[44,12,1]",0.907,0.021,0.86,0.895,0.909,0.92,0.945,1.09,27
"PS1[45,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[46,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[47,12,1]",0.012,0.041,0.01,0.01,0.01,0.01,0.01,1.135,1500
"PS1[48,12,1]",0.611,0.41,0.01,0.01,0.877,0.902,0.932,1.051,49
"PS1[49,12,1]",0.603,0.412,0.01,0.01,0.872,0.899,0.929,4.552,3
"PS1[50,12,1]",0.815,0.043,0.735,0.796,0.821,0.84,0.875,1.258,450
"PS1[51,12,1]",0.934,0.018,0.894,0.922,0.936,0.948,0.965,1.075,32
"PS1[52,12,1]",0.01,0.015,0.01,0.01,0.01,0.01,0.01,1.291,3000
"PS1[53,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[54,12,1]",0.932,0.034,0.895,0.922,0.935,0.946,0.962,1.132,960
"PS1[55,12,1]",0.136,0.308,0.01,0.01,0.01,0.01,0.912,1.061,67
"PS1[56,12,1]",0.991,0.005,0.978,0.988,0.992,0.995,0.998,1.127,22
"PS1[57,12,1]",0.886,0.027,0.83,0.868,0.888,0.906,0.933,1.008,450
"PS1[58,12,1]",0.01,0.014,0.01,0.01,0.01,0.01,0.01,1.291,3000
"PS1[59,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[60,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[64,12,1]",0.813,0.117,0.691,0.808,0.832,0.854,0.887,1.035,700
"PS1[65,12,1]",0.102,0.273,0.01,0.01,0.01,0.01,0.925,1.47,11
"PS1[66,12,1]",0.81,0.059,0.728,0.792,0.816,0.839,0.873,1.142,480
"PS1[67,12,1]",0.884,0.028,0.82,0.868,0.887,0.903,0.931,1.014,210
"PS1[68,12,1]",0.012,0.046,0.01,0.01,0.01,0.01,0.01,1.166,860
"PS1[72,12,1]",0.843,0.034,0.767,0.826,0.847,0.866,0.899,1.056,510
"PS1[73,12,1]",0.847,0.034,0.764,0.828,0.85,0.872,0.899,1.03,140
"PS1[74,12,1]",0.429,0.428,0.01,0.01,0.01,0.868,0.904,1.154,17
"PS1[75,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[77,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[79,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[82,12,1]",0.958,0.011,0.935,0.951,0.958,0.967,0.978,1.052,45
"PS1[83,12,1]",0.01,0.015,0.01,0.01,0.01,0.01,0.01,1.291,3000
"PS1[84,12,1]",0.841,0.247,0.01,0.895,0.911,0.927,0.955,1.012,540
"PS1[85,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[86,12,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[87,12,1]",0.012,0.04,0.01,0.01,0.01,0.01,0.01,1.294,430
"PS1[88,12,1]",0.015,0.063,0.01,0.01,0.01,0.01,0.01,1.046,1900
"PS1[89,12,1]",0.937,0.016,0.903,0.927,0.938,0.948,0.963,1.005,650
